business_name,business_group,basic_category,taxonomy_primary,confidence,lat,lon
Gurukrupa Automobiles warud,automotive,automotive_service,automotive_repair,0.8072330355644226,21.4767,78.26784
Pushpanjali Systems,services,home_service,home_security,0.5223219990730286,21.4767,78.26784
Shakuntalai coaching classes,education,education,education,0.6429750919342041,21.4767,78.26784
Kanhyya Gems And Jewellers,retail,fashion_and_apparel_store,jewelry_store,0.5569158792495728,21.4767,78.26784
Late Shivramji Hiwase College of Education Warud,education,college_university,college_university,0.7792863249778748,21.4766998,78.2678375
"HOTEL Vrundavan ,warud",hospitality,hotel,hotel,0.5647386312484741,21.4766998,78.2678375
Hotel Rimzim,hospitality,hotel,hotel,0.7010816931724548,21.4767,78.26784
"Sai Internet Cafe, Warud",food_and_grocery,cafe,cafe,0.5696771144866943,21.4767,78.26784
Veera mobilee,retail,electronics_store,mobile_phone_store,0.7418953776359558,21.47678,78.26783
"जय गुरूदेव कृषी सेवा केंद्र ,वरुड",agriculture,b2b_service,agriculture,0.5953801274299622,21.47678,78.26783
Kheteshwar bikaner Sweet & bakery,food_and_grocery,casual_eatery,bakery,0.607950747013092,21.47678,78.26783
Shrihari Clinic,healthcare,hospital,hospital,0.9701716899871826,21.47678,78.26783
"Prabha Gaurav Agencies, Warud",automotive,technical_service,bike_repair_maintenance,0.7148219347000122,21.47678,78.26783
Aditya TYRES MRF T&S warud,automotive,automotive_service,tire_dealer_and_repair,0.5292407274246216,21.47678,78.26783
PORTO De RAHMS,food_and_grocery,restaurant,restaurant,0.5421200394630432,21.47678,78.26783
Dr Dahane's Diet and weightloss clinic,services,wellness_service,weight_loss_center,0.6423219442367554,21.47678,78.26783
New Orange City Convent,education,place_of_learning,school,0.9407673478126526,21.47678,78.26783
Taro Pumps - Sanjay Electricals,agriculture,,,0.6039398908615112,21.47678,78.26783
Axis Bank,finance,bank_or_credit_union,bank,0.77,21.476770401001,78.26782989502
Tata Motors Cars,automotive,auto_dealer,auto_dealer,0.7190621495246887,21.47678,78.26783
C K AGRI CLINIc,agriculture,agricultural_service,agricultural_service,0.6296502947807312,21.47678,78.26783
Kids & Needs,retail,toys_and_games_store,toy_store,0.8414313793182373,21.47678,78.26783
grampanchayat dhanodi,government_community,community_and_government,community_and_government,0.5878348350524902,21.47696632052336,78.26781792851153
Shree Krishna Refreshment,food_and_grocery,restaurant,indian_restaurant,0.5983160734176636,21.47715167,78.26738153
SBI Life Insurance Co,finance,financial_service,life_insurance,0.85,21.478961,78.261411
SMFG India Credit Co. Limited - Warud (Branch),finance,,,0.85,21.477891,78.258091
Gavhankund,religious,hindu_place_of_worship,hindu_place_of_worship,0.8497413992881775,21.4681667,78.2565986
Shri Krupa Family Restaurant,food_and_grocery,restaurant,restaurant,0.5412673950195312,21.47425,78.26095
Mauli Tyres Warud,retail,shopping,shopping,0.5217466354370117,21.47425,78.26095
KhteshwerBikaner Sweet Mart Warud,hospitality,hotel,hotel,0.7956235408782959,21.4747287,78.2609063
Bus Depot Warud,services,public_transit_facility_or_service,bus_station,0.6142752766609192,21.47437684,78.26138076
Shri Kheteswar Bikaner Sweet Mart,hospitality,hotel,hotel,0.5568525791168213,21.474,78.26079
Swaraj Tractor - M/S Prasanna Tractors,agriculture,agricultural_service,agricultural_service,0.7060521245002747,21.4703,78.2596
Tawakkal enterprise,retail,hardware_home_and_garden_store,furniture_store,0.5985535383224487,21.46753,78.26008
Gajanan Maharaj Temple,religious,hindu_place_of_worship,hindu_place_of_worship,0.6571074724197388,21.46755833,78.26003473
M K M English School,education,place_of_learning,school,0.5707473158836365,21.46558344,78.25616568
Pandit Transport,transport,travel_and_transportation,travel_and_transportation,0.5587330460548401,21.46664869,78.25604009
Bank of Maharashtra,finance,bank_or_credit_union,bank_or_credit_union,0.9589322239160538,21.46,78.26
IndianOil,transport,gas_station,gas_station,0.524101197719574,21.45113034,78.30012358
P V Sable Jagrut Vidyalay,education,education,education,0.5489808320999146,21.44543099,78.30829741
Raja Auto Works,automotive,automotive_service,automotive_repair,0.5302683711051941,21.4459,78.30553
"Abhishek Motors ,warud",automotive,automotive_service,automotive_repair,0.5301661491394043,21.44536,78.30921
"Pundalik Maharaj Industrial Training Institute Roshankhda, WARUD",education,college_university,college_university,0.6686218976974487,21.455581700000003,78.2910662
Nature Food Family Restaurant,food_and_grocery,restaurant,restaurant,0.6909351944923401,21.480226703376,78.300590515137
Dhanodi Grampanchayat,government_community,government_office,government_office,0.7210582494735718,21.48300051,78.2994537
